0x82578A0C  XamShowMessageBoxUIEx
0x825788EC  XamShowSigninUI
0x8257893C  XamUserGetName
0x8257894C  XamUserGetSigninState
0x8257888C  XamUserGetXUID
0x8257886C  XamUserReadProfileSettings
0x8257887C  XamUserWriteProfileSettings
0x8257897C  XamWriteGamerTile
0x825783DC  XexCheckExecutablePrivilege
0x825783BC  XexGetModuleHandle
0x825783AC  XexGetProcedureAddress
0x82578ABC  XexLoadImage
0x82578AAC  XexUnloadImage
0x825783EC  __C_specific_handler
0x8257867C  _vsnprintf
0x8257865C  sprintf
